 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;
8149250;"Partido de fútbol. Real Madrid CF - RCD Espanyol de Barcelona SAD";"";"0";"0";"";"";"2016-01-31 00:00:00.0";"2016-01-31 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=283466fd7969e410VgnVCM1000000b205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Real Madrid CF";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=587f93e09869e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/ActividadesDeportivas/Futbol";
8149249;"Partido de fútbol. Real Madrid CF - Real Sporting de Gijón SAD";"";"0";"0";"";"";"2016-01-17 00:00:00.0";"2016-01-17 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=152466fd7969e410VgnVCM1000000b205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Real Madrid CF";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=587f93e09869e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/ActividadesDeportivas/Futbol";
8149308;"Partido de fútbol. Real Madrid CF - Sevilla FC SAD";"";"0";"0";"";"";"2016-03-20 00:00:00.0";"2016-03-20 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e7c4cd47b69e410VgnVCM1000000b205a0aRCRD";"Fútbol. Campeonato Nacional de la Liga BBVA de Primera División 2015 / 2016. Partidos del Real Madrid CF";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=587f93e09869e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/ActividadesDeportivas/Futbol";
8371152;"Torneo de Baloncesto";"";"1";"1";"S,D";"";"2015-12-05 00:00:00.0";"2015-12-27 23:59:00.0";"09:00";" 
  Lugar de celebración:  Instalación Deportiva Básica Bostón y Centro Deportivo Municipal Gimnasio Moscardó 
  Horario:  de 9 a 14 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e19f5e5501261510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito Salamanca";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=340606158f161510VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";
8370384;"Torneo de Fútbol 3x3";"";"1";"0";"";"";"2015-12-23 00:00:00.0";"2015-12-23 23:59:00.0";"00:00";"   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86f84e6f42e51510VgnVCM2000000c205a0aRCRD";"Fútbol. Torneos del Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b5f39b5f6ed51510VgnVCM2000000c205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Futbol";
8371274;"Torneo de Fútbol de Navidad";"";"1";"1";"L,M,X,J,V,S,D";"";"2015-12-26 00:00:00.0";"2015-12-27 23:59:00.0";"09:00";" 
  Horario:  de 9 a 15 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=44eba16432261510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c8415e5501261510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=424b42be9971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal San Blas";"448255";"4475740";"40.428810107016545";"-3.6113273589762334";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ActividadesDeportivas";
8371298;"Torneo de Fútbol de Navidad";"";"1";"1";"L,M,X,J,V,S,D";"";"2015-12-26 00:00:00.0";"2015-12-27 23:59:00.0";"09:00";" 
  Horario:  de 9 a 15 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70eba16432261510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c8415e5501261510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8add2414d35e1110VgnVCM1000000b205a0aRCRD";"Instalación Deportiva Municipal Básica Guadalajara";"447659";"4474820";"40.42048481589473";"-3.618277425225656";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ActividadesDeportivas";
8371155;"Torneo de Fútbol Sala";"";"1";"1";"L,M,X,J,V,S,D";"";"2016-01-04 00:00:00.0";"2016-01-05 23:59:00.0";"10:30";" 
  Lugar de celebración:  Torrespaña 
  Horario:  lunes 4 de enero 2016, de 10:30 a 13:30 y de 16:30 a 19:30 horas; martes 5 de enero de 2016, de 10:30 a 13:30 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3b7f5e5501261510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito Salamanca";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=340606158f161510VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";
8370386;"Torneo de Fútbol Sala. Distrito San Blas - Canillejas";"";"1";"0";"";"";"2015-12-26 00:00:00.0";"2015-12-26 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d1f84e6f42e51510VgnVCM2000000c205a0aRCRD";"Fútbol. Torneos del Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b5f39b5f6ed51510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=424b42be9971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal San Blas";"448255";"4475740";"40.428810107016545";"-3.6113273589762334";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ActividadesDeportivas/Futbol";
8370389;"Torneo de Fútbol. Distrito San Blas - Canillejas";"";"1";"0";"";"";"2015-12-26 00:00:00.0";"2015-12-26 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2bf84e6f42e51510VgnVCM2000000c205a0aRCRD";"Fútbol. Torneos del Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b5f39b5f6ed51510VgnVCM2000000c205a0aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Futbol";
8371263;"Torneos de Fútbol de Navidad 3x3";"";"1";"1";"L,M,X,J,V,S,D";"";"2015-12-22 00:00:00.0";"2015-12-23 23:59:00.0";"09:00";" 
  Lugar de celebración:  Instalación Deportiva Básica Iquitos, calle Alcalá, 525 
  Horario:  de 9 a 15 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=60065e5501261510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito San Blas - Canillejas";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c8415e5501261510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=367511f66a6f5310VgnVCM1000000b205a0aRCRD";"Instalación Deportiva Municipal Básica Quinta de Los Molinos II";"446370";"4477058";"40.44056376610166";"-3.6336601284470627";"SAN BLAS-CANILLEJAS";"/contenido/actividades/ActividadesDeportivas";
7828582;"Tour Bernabéu";"";"0";"1";"L,M,X,J,V,S,D";"25/12/2015;1/1/2015;";"2015-01-01 00:00:00.0";"2015-12-31 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=53c06b3848eca410VgnVCM1000000b205a0aRCRD";"Tour Bernabéu";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96a0f841b01de310VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"441727";"4478378";"40.45214189379938";"-3.68852449488213";"CHAMARTIN";"/contenido/actividades/VisitasTuristicas";
8368987;"Trofeo de Navidad de Fútbol-Sala";"";"1";"1";"L,M,X,J,V,S,D";"";"2015-12-28 00:00:00.0";"2015-12-29 23:59:00.0";"16:00";" 
  Horario:  de 16 a 21 horas  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=59543cda78d51510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito Latina";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1399a90b95d51510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=61ff5c2cdc41c010VgnVCM2000000c205a0aRCRD";"Centro Deportivo Municipal El Olivillo";"436820";"4473354";"40.40652470221465";"-3.745889233801086";"LATINA";"/contenido/actividades/ActividadesDeportivas/Baloncesto";
8368928;"Trofeo de Navidad Fútbol 7";"";"1";"1";"L,M,X,J,V,S,D";"";"2015-12-28 00:00:00.0";"2015-12-29 23:59:00.0";"17:00";" 
  Otros lugares de celebración:  los Yébenes y Gabriel Fernández   ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f12a3cda78d51510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito Latina";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1399a90b95d51510VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Aluche";"434441";"4470732";"40.382720517194784";"-3.773653600881568";"LATINA";"/contenido/actividades/ActividadesDeportivas/Baloncesto";
8198405;"Urban Walking 2015. Distrito Chamberí";"";"1";"1";"M,J";"";"2015-10-01 00:00:00.0";"2015-12-31 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2bcf1291bdacf410VgnVCM1000000b205a0aRCRD";"Urban Walking 2015. Distrito Chamberí";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=64a2a2c688adb410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Galileo (Chamberí)";"439851";"4476347";"40.43371190964793";"-3.7104543597957758";"CHAMBERI";"/contenido/actividades/ActividadesDeportivas";
8368275;"¡Haz deporte y diviértete en Navidad!";"";"1";"0";"";"";"2015-12-28 00:00:00.0";"2015-12-28 23:59:00.0";"11:00";" 
 Hinchables, deportes talleres y juegos colectivos...  ";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=21991a4cffc51510VgnVCM1000000b205a0aRCRD";"Deportes. Campaña Navidad 2015/16. Distrito Carabanchel";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=df810bcfc7851510VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal La Mina";"436747";"4470671";"40.38234955664604";"-3.746482524823702";"CARABANCHEL";"/contenido/actividades/ActividadesDeportivas/Baloncesto";

